wardname,wardcode,local authority name,Population
City of London (aggregated),E09000001,City of London,8579
Abbey,E05014053,Barking and Dagenham,3965
Alibon,E05014054,Barking and Dagenham,9890
Barking Riverside,E05014055,Barking and Dagenham,10060
Beam,E05014056,Barking and Dagenham,8355
Becontree,E05014057,Barking and Dagenham,9790
Chadwell Heath,E05014058,Barking and Dagenham,13827
Eastbrook & Rush Green,E05014059,Barking and Dagenham,8745
Eastbury,E05014060,Barking and Dagenham,15729
Gascoigne,E05014061,Barking and Dagenham,10714
Goresbrook,E05014062,Barking and Dagenham,13693
Heath,E05014063,Barking and Dagenham,9119
Longbridge,E05014064,Barking and Dagenham,13294
Mayesbrook,E05014065,Barking and Dagenham,15619
Northbury,E05014066,Barking and Dagenham,13187
Parsloes,E05014067,Barking and Dagenham,15165
Thames View,E05014068,Barking and Dagenham,5649
Valence,E05014069,Barking and Dagenham,15242
Village,E05014070,Barking and Dagenham,12648
Whalebone,E05014071,Barking and Dagenham,14198
Barnet Vale,E05013628,Barnet,17071
Brunswick Park,E05013629,Barnet,16141
Burnt Oak,E05013630,Barnet,21575
Childs Hill,E05013631,Barnet,19392
Colindale North,E05013632,Barnet,12727
Colindale South,E05013633,Barnet,19001
Cricklewood,E05013634,Barnet,10413
East Barnet,E05013635,Barnet,18099
East Finchley,E05013636,Barnet,16324
Edgware,E05013637,Barnet,19770
Edgwarebury,E05013638,Barnet,12344
Finchley Church End,E05013639,Barnet,18835
Friern Barnet,E05013640,Barnet,19063
Garden Suburb,E05013641,Barnet,12679
Golders Green,E05013642,Barnet,15142
Hendon,E05013643,Barnet,21977
High Barnet,E05013644,Barnet,12007
Mill Hill,E05013645,Barnet,17825
Totteridge & Woodside,E05013646,Barnet,14904
Underhill,E05013647,Barnet,12297
West Finchley,E05013648,Barnet,19406
West Hendon,E05013649,Barnet,17255
Whetstone,E05013650,Barnet,10889
Woodhouse,E05013651,Barnet,14165
Barnehurst,E05011217,Bexley,11717
Belvedere,E05011218,Bexley,17561
Bexleyheath,E05011219,Bexley,15908
Blackfen & Lamorbey,E05011220,Bexley,16126
Blendon & Penhill,E05011221,Bexley,15573
Crayford,E05011222,Bexley,15945
Crook Log,E05011223,Bexley,15888
East Wickham,E05011224,Bexley,16194
Erith,E05011225,Bexley,12827
Falconwood & Welling,E05011226,Bexley,16593
Longlands,E05011227,Bexley,10032
Northumberland Heath,E05011228,Bexley,11054
St Mary's & St James,E05011229,Bexley,10851
Sidcup,E05011230,Bexley,15725
Slade Green & Northend,E05011231,Bexley,12879
Thamesmead East,E05011232,Bexley,15917
West Heath,E05011233,Bexley,15677
Alperton,E05013496,Brent,15010
Barnhill,E05013497,Brent,11414
Brondesbury Park,E05013498,Brent,13602
Cricklewood & Mapesbury,E05013499,Brent,13958
Dollis Hill,E05013500,Brent,21644
Harlesden & Kensal Green,E05013501,Brent,20101
Kenton,E05013502,Brent,17715
Kilburn,E05013503,Brent,17207
Kingsbury,E05013504,Brent,11434
Northwick Park,E05013505,Brent,12122
Preston,E05013506,Brent,12451
Queens Park,E05013507,Brent,17104
Queensbury,E05013508,Brent,16864
Roundwood,E05013509,Brent,16655
Stonebridge,E05013510,Brent,20209
Sudbury,E05013511,Brent,13796
Tokyngton,E05013512,Brent,9917
Welsh Harp,E05013513,Brent,18236
Wembley Central,E05013514,Brent,18013
Wembley Hill,E05013515,Brent,15542
Wembley Park,E05013516,Brent,7636
Willesden Green,E05013517,Brent,19185
Beckenham Town & Copers Cope,E05013987,Bromley,16055
Bickley & Sundridge,E05013988,Bromley,17815
Biggin Hill,E05013989,Bromley,10919
